iso_code,country,year,co2,co2_per_capita,trade_co2,cement_co2,cement_co2_per_capita,coal_co2,coal_co2_per_capita,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,oil_co2,oil_co2_per_capita,other_industry_co2,other_co2_per_capita,co2_growth_prct,co2_growth_abs,co2_per_gdp,co2_per_unit_energy,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_co2,cumulative_cement_co2,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_oil_co2,cumulative_other_co2,trade_co2_share,share_global_co2,share_global_cement_co2,share_global_coal_co2,share_global_flaring_co2,share_global_gas_co2,share_global_oil_co2,share_global_other_co2,share_global_cumulative_co2,share_global_cumulative_cement_co2,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,total_ghg,ghg_per_capita,total_ghg_excluding_lucf,ghg_excluding_lucf_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,population,gdp,primary_energy_consumption,energy_per_capita,energy_per_gdp,continent,,Flag,,gdp_per_capita,,,,,
OMN,Oman,2020,62.163,12.173,,2.096,0.41,,,3.059,0.599,53.163,10.411,3.844,0.753,,,2.31,1.406,,,,,,1251.111,37.631,,130.566,797.988,284.926,,,0.18,0.13,,0.7,0.72,0.03,,0.07,0.09,,0.73,0.33,0.05,,,,,,,,,,5106622,23416,,,,Asia,,,,23416,2022,12409,2020,12660,2020
PAK,Pakistan,2020,234.755,1.063,,15.608,0.071,58.77,0.266,,,71.688,0.324,88.688,0.402,,,0.2,0.466,,,,,,5162.289,302.267,736.969,,1855.211,2243.083,,,0.67,0.96,0.42,,0.97,0.8,,0.3,0.7,0.09,,0.76,0.38,,,,,,,,,,220892331,1562,,,,Asia,,,,1562,2021,1167,2020,1194,2020
PLW,Palau,2020,0.219,12.125,,,,,,,,,,0.219,12.125,,,0.14,0,,,,,,10.562,,,,,10.562,,,0,,,,,0,,0,,,,,0,,,,,,,,,,18092,13706,,,,Oceania,,,,13706,2022,14567,2020,14244,2020
PSE,Palestine,2020,2.899,0.568,,,,,,,,,,2.899,0.568,,,-2.92,-0.087,,,,,,59.438,,,,,59.438,,,0.01,,,,,0.03,,0,,,,,0.01,,,,,,,,,,5101416,3682,,,,Asia,,,,3682,[n 2]2022,3050,2020,3240,2020
PAN,Panama,2020,10.78,2.498,,0.775,0.18,0.686,0.159,,,0.659,0.153,8.659,2.007,,,-12.32,-1.514,,,,,,309.251,19.935,9.731,,2.292,277.293,,,0.03,0.05,0,,0.01,0.08,,0.02,0.05,0,,0,0.05,,,,,,,,,,4314768,16038,,,,North America,,,,16038,2022,12269,2020,12510,2020
PNG,Papua New Guinea,2020,6.652,0.744,,,,,,,,1.009,0.113,5.643,0.631,,,0.52,0.034,,,,,,169.499,,,,11.973,157.475,,,0.02,,,,0.01,0.05,,0.01,,,,0,0.03,,,,,,,,,,8947027,3269,,,,Oceania,,,,3269,2022,2640,2020,2637,2020
PRY,Paraguay,2020,7.57,1.061,,0.408,0.057,0.007,0.001,,,,,7.154,1.003,,,-11.2,-0.955,,,,,,177.914,9.672,0.051,,,168.191,,,0.02,0.03,0,,,0.06,,0.01,0.02,0,,,0.03,,,,,,,,,,7132530,5626,,,,South America,,,,5626,2022,4950,2020,4950,2020
PER,Peru,2020,44.706,1.356,,4.32,0.131,1.239,0.038,0.202,0.006,13.133,0.398,25.812,0.783,,,-18.68,-10.271,,,,,,1941.85,111.784,115.686,87.684,236.291,1390.405,,,0.13,0.27,0.01,0.05,0.18,0.23,,0.11,0.26,0.01,0.49,0.1,0.23,,,,,,,,,,32971845,7034,,,,South America,,,,7034,2022,6163,2020,6127,2020
PHL,Philippines,2020,136.018,1.241,,9.952,0.091,68.994,0.63,,,7.9,0.072,49.172,0.449,,,-7.23,-10.597,,,,,,3390.274,236.059,816.347,,129.539,2208.329,,,0.39,0.61,0.49,,0.11,0.44,,0.2,0.55,0.1,,0.05,0.37,,,,,,,,,,109581085,3687,,,,Asia,,,,3687,2022,3299,2020,3299,2020
POL,Poland,2020,299.593,7.916,,7.692,0.203,160.834,4.25,4.344,0.115,36.626,0.968,85.228,2.252,4.867,0.129,-6.24,-19.928,,,,,,27863.876,415.759,23016.542,110.67,1185.017,2992.729,143.16,,0.86,0.47,1.15,1,0.49,0.77,1.63,1.64,0.96,2.92,0.62,0.48,0.5,1.53,,,,,,,,,37846605,18506,,,,Europe,,,,18506,2022,15764,2020,15721,2020
PRT,Portugal,2020,40.388,3.961,,2.225,0.218,2.334,0.229,1.133,0.111,11.865,1.164,21.924,2.15,0.907,0.089,-15.2,-7.241,,,,,,2614.595,159.366,650.35,18.227,212.259,1548.989,25.404,,0.12,0.14,0.02,0.26,0.16,0.2,0.3,0.15,0.37,0.08,0.1,0.09,0.26,0.27,,,,,,,,,10196707,24495,,,,Europe,,,,24495,2022,22413,2020,22176,2020
PRI,Puerto Rico,2020,0.712,0.22,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2860840,37823,,,,North America,,,,37823,2022,36052,2020,32291,2020
QAT,Qatar,2020,106.655,37.019,,2.305,0.8,,,1.154,0.401,90.164,31.295,13.032,4.523,,,-7.29,-8.382,,,,,,2094.572,35.448,,168.549,1557.285,333.291,,,0.31,0.14,,0.27,1.22,0.12,,0.12,0.08,,0.95,0.64,0.06,,,,,,,,,,2881060,84514,,,,Asia,,,,84514,2022,50815,2020,50124,2020
ROU,Romania,2020,71.475,3.715,,3.828,0.199,12.943,0.673,0.592,0.031,22.562,1.173,30.375,1.579,1.176,0.061,-4.5,-3.371,,,,,,8493.294,261.097,2528.211,28.781,2872.038,2767.242,35.925,,0.21,0.24,0.09,0.14,0.3,0.27,0.39,0.5,0.6,0.32,0.16,1.17,0.47,0.38,,,,,,,,,19237682,14825,,,,Europe,,,,14825,2022,12929,2020,12896,2020
RUS,Russia,2020,1577.136,10.807,,20.306,0.139,356.946,2.446,46.762,0.32,747.591,5.123,388.774,2.664,16.757,0.115,-6.09,-102.313,,,,,,115344.15,1636.979,45132.885,1161.175,34157.493,32715.047,540.571,,4.53,1.25,2.55,10.75,10.1,3.51,5.63,6.8,3.79,5.72,6.53,13.93,5.52,5.78,,,,,,,,,145934460,12575,,,,Europe,,,,12575,2022,10166,2020,10127,2020
RWA,Rwanda,2020,1.033,0.08,,0.145,0.011,0.006,0,,,0.041,0.003,0.84,0.065,,,-13.03,-0.155,,,,,,28.684,1.576,0.032,,0.266,26.789,,,0,0.01,0,,0,0.01,,0,0,0,,0,0,,,,,,,,,,12952209,910,,,,Africa,,,,910,2022,798,2020,798,2020
SHN,Saint Helena,2020,0.009,1.564,,,,,,,,,,0.009,1.564,,,-11.51,-0.001,,,,,,0.379,,,,,0.379,,,0,,,,,0,,0,,,,,0,,,,,,,,,,6071,12230,,,,Africa,,,,12230,,,,,
KNA,Saint Kitts and Nevis,2020,0.212,3.986,,,,,,,,,,0.212,3.986,,,-11.51,-0.028,,,,,,6.34,,,,,6.34,,,0,,,,,0,,0,,,,,0,,,,,,,,,,53192,19117,,,,North America,,,,19117,2022,17434,2020,18438,2020
LCA,Saint Lucia,2020,0.44,2.396,,,,,,,,,,0.44,2.396,,,-11.51,-0.057,,,,,,14.366,,,,,14.366,,,0,,,,,0,,0,,,,,0,,,,,,,,,,183629,11364,,,,North America,,,,11364,2022,8805,2020,8805,2020
SPM,Saint Pierre and Miquelon,2020,0.051,8.738,,,,,,,,,,0.051,8.738,,,-11.51,-0.007,,,,,,3.677,,,,,3.181,,,0,,,,,0,,0,,,,,0,,,,,,,,,,5795,46200,,,,,,,,46200,,,,,
VCT,Saint Vincent and the Grenadines,2020,0.209,1.883,,,,,,,,,,0.209,1.883,,,-11.51,-0.027,,,,,,6.967,,,,,6.967,,,0,,,,,0,,0,,,,,0,,,,,,,,,,110947,8595,,,,North America,,,,8595,2022,7298,2020,7298,2020
WSM,Samoa,2020,0.246,1.239,,,,,,,,,,0.246,1.239,,,0.14,0,,,,,,6.782,,,,,6.782,,,0,,,,,0,,0,,,,,0,,,,,,,,,,198410,4059,,,,Oceania,,,,4059,2022,3890,2020,4068,2020
STP,Sao Tome and Principe,2020,0.113,0.514,,,,,,,,,,0.113,0.514,,,-10.71,-0.014,,,,,,3.361,,,,,3.361,,,0,,,,,0,,0,,,,,0,,,,,,,,,,219161,2315,,,,Africa,,,,2315,2022,2174,2020,2158,2020
SAU,Saudi Arabia,2020,625.508,17.967,,25.593,0.735,,,0.095,0.003,257.22,7.388,342.599,9.841,,,0.5,3.095,,,,,,15936.377,531.614,,902.889,4759.169,9742.704,,,1.8,1.57,,0.02,3.48,3.09,,0.94,1.23,,5.07,1.94,1.64,,,,,,,,,,34813867,28759,,,,Asia,,,,28759,2022,20110,2020,20110,2020
SEN,Senegal,2020,10.451,0.624,,2.097,0.125,1.93,0.115,,,0.024,0.001,6.4,0.382,,,-7.23,-0.814,,,,,,243.299,37.766,18.254,,1.058,186.22,,,0.03,0.13,0.01,,0,0.06,,0.01,0.09,0,,0,0.03,,,,,,,,,,16743930,1609,,,,Africa,,,,1609,2022,1458,2020,1488,2020
SRB,Serbia,2020,43.135,4.937,,0.81,0.093,28.898,3.307,,,4.976,0.57,8.452,0.967,,,-12.57,-6.202,,,,,,2734.456,28.922,2051.856,,193.959,458.779,,,0.12,0.05,0.21,,0.07,0.08,,0.16,0.07,0.26,,0.08,0.08,,,,,,,,,,8737370,9503,,,,Europe,,,,9503,2022,7656,2020,7721,2020
SYC,Seychelles,2020,0.491,4.994,,,,,,,,,,0.491,4.994,,,-15.49,-0.09,,,,,,13.38,,,,,13.38,,,0,,,,,0,,0,,,,,0,,,,,,,,,,98340,17693,,,,Africa,,,,17693,2022,10767,2020,10764,2020
SLE,Sierra Leone,2020,0.877,0.11,,,,,,,,,,0.877,0.11,,,-8.69,-0.083,,,,,,36.096,,,,,35.232,,,0,,,,,0.01,,0,,,,,0.01,,,,,,,,,,7976985,513,,,,Africa,,,,513,2022,475,2020,485,2020
SGP,Singapore,2020,45.504,7.778,,,,2.051,0.351,,,21.107,3.608,22.345,3.82,,,-0.44,-0.201,,,,,,2157.028,,20.661,,334.116,1802.25,,,0.13,,0.01,,0.29,0.2,,0.13,,0,,0.14,0.3,,,,,,,,,,5850343,79576,,,,Asia,,,,79576,2022,58114,2020,59798,2020
SXM,Sint Maarten (Dutch part),2020,0.623,14.539,,,,,,,,,,0.623,14.539,,,-11.51,-0.081,,,,,,67.704,,,,,67.704,,,0,,,,,0.01,,0,,,,,0.01,,,,,,,,,,42882,1,,,,North America,,,,1,,20000,2020,29160,2018
SVK,Slovakia,2020,30.73,5.629,,1.404,0.257,8.636,1.582,0.019,0.004,9.816,1.798,9.962,1.825,0.893,0.164,-9.01,-3.043,,,,,,3869.881,59.049,2658.739,0.721,496.811,622.372,32.189,,0.09,0.09,0.06,0,0.13,0.09,0.3,0.23,0.14,0.34,0,0.2,0.11,0.34,,,,,,,,,5459643,21665,,,,Europe,,,,21665,2022,19264,2020,19267,2020
SVN,Slovenia,2020,12.563,6.043,,0.478,0.23,4.494,2.162,0.125,0.06,1.714,0.824,5.647,2.716,0.106,0.051,-10.3,-1.443,,,,,,851.1,27.772,368.713,4.485,67.14,378.488,4.502,,0.04,0.03,0.03,0.03,0.02,0.05,0.04,0.05,0.06,0.05,0.03,0.03,0.06,0.05,,,,,,,,,2078931,30159,,,,Europe,,,,30159,2022,25777,2020,25517,2020
SLB,Solomon Islands,2020,0.299,0.435,,,,,,,,,,0.299,0.435,,,0.14,0,,,,,,10.435,,,,,10.435,,,0,,,,,0,,0,,,,,0,,,,,,,,,,686878,2334,,,,Oceania,,,,2334,2022,2251,2020,2258,2020
SOM,Somalia,2020,0.562,0.035,,,,,,,,,,0.562,0.035,,,-15.49,-0.103,,,,,,32.89,,,,,32.785,,,0,,,,,0.01,,0,,,,,0.01,,,,,,,,,,15893219,544,,,,Africa,,,,544,2022,118,2020,309,2020
ZAF,South Africa,2020,451.957,7.62,,6.009,0.101,394.046,6.644,,,8.376,0.141,43.526,0.734,,,-5.04,-23.966,,,,,,21164.298,251.286,18354.029,,187.581,2371.402,,,1.3,0.37,2.82,,0.11,0.39,,1.25,0.58,2.33,,0.08,0.4,,,,,,,,,,59308690,6979,,,,Africa,,,,6979,2022,5094,2020,5091,2020
KOR,South Korea,2020,597.605,11.656,,22.871,0.446,282.883,5.518,,,114.831,2.24,166.717,3.252,10.303,0.201,-7.78,-50.42,,,,,,18335.707,935.997,8073.524,,1955.101,7168.376,202.591,,1.72,1.41,2.02,,1.55,1.51,3.46,1.08,2.17,1.02,,0.8,1.21,2.17,,,,,,,,,51269183,34994,,,,Asia,,,,34994,2022,31947,2020,31632,2020
SSD,South Sudan,2020,1.179,0.105,,,,,,,,,,1.179,0.105,,,-15.49,-0.216,,,,,,38.352,,,,,38.243,,,0,,,,,0.01,,0,,,,,0.01,,,,,,,,,,11193729,393,,,,Africa,,,,393,2022,1421,2020,1120,2015
ESP,Spain,2020,208.915,4.468,,9.064,0.194,10.943,0.234,3.633,0.078,64.131,1.372,118.201,2.528,2.942,0.063,-16.93,-42.584,,,,,,14853.333,697.279,4836.671,80.157,1586.096,7545.43,107.7,,0.6,0.56,0.08,0.84,0.87,1.07,0.99,0.88,1.62,0.61,0.45,0.65,1.27,1.15,,,,,,,,,46754783,30157,,,,Europe,,,,30157,2022,27409,2020,27063,2020
LKA,Sri Lanka,2020,21.106,0.986,,1.085,0.051,6.678,0.312,,,,,13.344,0.623,,,-7.53,-1.719,,,,,,500.281,24.078,56.388,,,419.815,,,0.06,0.07,0.05,,,0.12,,0.03,0.06,0.01,,,0.07,,,,,,,,,,21413250,3699,,,,Asia,,,,3699,2022,3768,2020,3682,2020
SDN,Sudan,2020,18.859,0.43,,1.556,0.036,,,,,,,17.304,0.395,,,-14.4,-3.172,,,,,,446.154,19.745,,,,425.124,,,0.05,0.1,,,,0.16,,0.03,0.05,,,,0.07,,,,,,,,,,43849269,674,,,,Africa,,,,674,2022,1415,2020,596,2020
SUR,Suriname,2020,2.224,3.791,,0.012,0.02,,,,,0.009,0.015,2.203,3.756,,,-11.75,-0.296,,,,,,115.203,1.277,,,0.156,112.36,,,0.01,0,,,0,0.02,,0.01,0,,,0,0.02,,,,,,,,,,586634,4843,,,,South America,,,,4843,2022,7023,2020,6491,2020
SWE,Sweden,2020,38.635,3.826,,1.349,0.134,7.367,0.73,0.536,0.053,1.84,0.182,27.016,2.675,0.525,0.052,-5.62,-2.302,,,,,,4987.956,110.62,1503.429,17.103,70.227,3267.419,19.158,,0.11,0.08,0.05,0.12,0.02,0.24,0.18,0.29,0.26,0.19,0.1,0.03,0.55,0.2,,,,,,,,,10099270,57978,,,,Europe,,,,57978,2022,53575,2020,52274,2020
CHE,Switzerland,2020,32.298,3.732,,1.732,0.2,0.434,0.05,0.033,0.004,6.528,0.754,23.401,2.704,0.169,0.02,-12.09,-4.444,,,,,,3022.785,136.546,591.65,1.231,223.857,2062.71,6.791,,0.09,0.11,0,0.01,0.09,0.21,0.06,0.18,0.32,0.08,0.01,0.09,0.35,0.07,,,,,,,,,8654618,96390,,,,Europe,,,,96390,2022,86919,2020,87097,2020
SYR,Syria,2020,30.532,1.745,,0.559,0.032,0.003,0,1.671,0.096,7.408,0.423,20.891,1.194,,,-1.54,-0.477,,,,,,1867.934,72.463,0.622,87.722,293.893,1413.234,,,0.09,0.03,0,0.38,0.1,0.19,,0.11,0.17,0,0.49,0.12,0.24,,,,,,,,,,17500657,2807,,,,Europe,,,,2807,2010,890,2020,2033,2007
TWN,Taiwan,2020,273.175,11.47,,5.378,0.226,154.019,6.467,,,46.425,1.949,66.328,2.785,1.025,0.043,-0.78,-2.158,,,,,,9046.736,397.361,4510.106,,733.35,3363.325,42.594,,0.78,0.33,1.1,,0.63,0.6,0.34,0.53,0.92,0.57,,0.3,0.57,0.46,,,,,,,,,23816775,36051,,,,Asia,,,,36051,2022,28383,[8][9]2020,N/A,
TJK,Tajikistan,2020,9.448,0.991,,1.879,0.197,4.987,0.523,,,0.114,0.012,2.468,0.259,,,9.42,0.814,,,,,,489.614,18.471,123.728,,83.497,261.83,,,0.03,0.12,0.04,,0,0.02,,0.03,0.04,0.02,,0.03,0.04,,,,,,,,,,9537642,795,,,,Asia,,,,795,2022,838,2020,859,2020
TZA,Tanzania,2020,10.939,0.183,,1.747,0.029,1.469,0.025,0.004,0,1.59,0.027,6.129,0.103,,,-9.17,-1.104,,,,,,243.841,25.156,12.118,0.07,23.135,183.364,,,0.03,0.11,0.01,0,0.02,0.06,,0.01,0.06,0,0,0.01,0.03,,,,,,,,,,59734213,1260,,,,Africa,,,,1260,2022,1115,[n 3]2020,1077,2020
THA,Thailand,2020,257.766,3.693,,15.091,0.216,55.013,0.788,,,76.123,1.091,111.539,1.598,,,-5.1,-13.859,,,,,,7364.298,481.818,1373.765,,1678.235,3830.481,,,0.74,0.93,0.39,,1.03,1.01,,0.43,1.12,0.17,,0.68,0.65,,,,,,,,,,69799978,7449,,,,Asia,,,,7449,2022,7189,2020,7189,2020
TLS,Timor,2020,0.526,0.399,,,,,,,,,,0.526,0.399,,,0.14,0.001,,,,,,6.543,,,,,6.256,,,0,,,,,0,,0,,,,,0,,,,,,,,,,1318442,1402,,,,Asia,,,,1402,2022,1443,2020,1381,2020
TGO,Togo,2020,2.192,0.265,,0.868,0.105,,,,,0.095,0.012,1.228,0.148,,,-4.93,-0.114,,,,,,66.128,20.231,,,0.524,45.373,,,0.01,0.05,,,0,0.01,,0,0.05,,,0,0.01,,,,,,,,,,8278736,1000,,,,Africa,,,,1000,2022,863,2020,915,2020
TON,Tonga,2020,0.144,1.36,,,,,,,,,,0.144,1.36,,,0.14,0,,,,,,4.384,,,,,4.384,,,0,,,,,0,,0,,,,,0,,,,,,,,,,105697,5283,,,,Oceania,,,,5283,2022,4646,2020,4903,2019
TTO,Trinidad and Tobago,2020,35.509,25.373,,0.252,0.18,,,,,31.136,22.248,4.122,2.945,,,-12.06,-4.869,,,,,,1569.561,12.727,,,1022.241,427.676,,,0.1,0.02,,,0.42,0.04,,0.09,0.03,,,0.42,0.07,,,,,,,,,,1399491,17921,,,,North America,,,,17921,2022,15286,2020,15426,2020
TUN,Tunisia,2020,28.127,2.38,,3.125,0.264,,,0.275,0.023,13.056,1.105,11.671,0.988,,,-6.28,-1.884,,,,,,901.512,106.142,,9.549,258.433,512.787,,,0.08,0.19,,0.06,0.18,0.11,,0.05,0.25,,0.05,0.11,0.09,,,,,,,,,,11818618,3763,,,,Africa,,,,3763,2022,3318,2020,3320,2020
TUR,Turkey,2020,392.794,4.657,,35.227,0.418,156.127,1.851,0.183,0.002,88.946,1.055,105.908,1.256,6.404,0.076,-1.64,-6.551,,,,,,10839.788,847.572,4461.38,5.373,1662.903,3726.61,135.95,,1.13,2.17,1.12,0.04,1.2,0.96,2.15,0.64,1.96,0.57,0.03,0.68,0.63,1.45,,,,,,,,,84339067,8081,,,,Asia,,,,8081,2022,8538,2020,8536,2020
TKM,Turkmenistan,2020,75.338,12.491,,1.45,0.24,,,,,53.863,8.931,20.024,3.32,,,-1.29,-0.981,,,,,,2434.766,36.649,,,1354.213,957.645,,,0.22,0.09,,,0.73,0.18,,0.14,0.08,,,0.55,0.16,,,,,,,,,,6031187,12274,,,,Asia,,,,12274,2022,7104,2020,7612,2019
TCA,Turks and Caicos Islands,2020,0.203,5.231,,,,,,,,,,0.203,5.231,,,-11.51,-0.026,,,,,,3.931,,,,,3.931,,,0,,,,,0,,0,,,,,0,,,,,,,,,,38718,1,,,,North America,,,,1,,23881,2020,23880,2020
TUV,Tuvalu,2020,0.008,0.642,,,,,,,,,,0.008,0.642,,,0.15,0,,,,,,0.279,,,,,0.279,,,0,,,,,0,,0,,,,,0,,,,,,,,,,11792,6047,,,,Oceania,,,,6047,2022,4648,2020,4143,2020
UGA,Uganda,2020,4.892,0.107,,0.372,0.008,,,,,,,4.52,0.099,,,-14.48,-0.829,,,,,,105.595,7.49,,,,98.105,,,0.01,0.02,,,,0.04,,0.01,0.02,,,,0.02,,,,,,,,,,45741000,1060,,,,Africa,,,,1060,2022,846,2020,817,2020
UKR,Ukraine,2020,213.909,4.891,,4.079,0.093,104.559,2.391,2.355,0.054,62.769,1.435,37.45,0.856,2.697,0.062,-3.9,-8.67,,,,,,30559.156,396.736,16962.369,168.646,6242.001,6677.743,111.661,,0.61,0.25,0.75,0.54,0.85,0.34,0.91,1.8,0.92,2.15,0.95,2.55,1.13,1.19,,,,,,,,,43733759,4828,,,,Europe,,,,4828,2021,3557,2020,3727,2020
ARE,United Arab Emirates,2020,150.268,15.193,,8.732,0.883,9.81,0.992,1.125,0.114,115.025,11.63,15.577,1.575,,,-2.54,-3.918,,,,,,4695.477,155.329,75.601,416.946,2848.584,1199.017,,,0.43,0.54,0.07,0.26,1.55,0.14,,0.28,0.36,0.01,2.34,1.16,0.2,,,,,,,,,,9890400,50349,,,,Asia,,,,50349,2022,36285,2020,36285,2020
GBR,United Kingdom,2020,329.579,4.855,,4.448,0.066,22.646,0.334,4.504,0.066,156.825,2.31,137.846,2.031,3.308,0.049,-10.69,-39.431,,,,,,78161.146,520.196,56820.921,291.475,7002.51,13418.03,108.013,,0.95,0.27,0.16,1.04,2.12,1.24,1.11,4.61,1.21,7.21,1.64,2.86,2.26,1.15,,,,,,,,,67886004,49761,,,,Europe,,,,49761,2022,40718,2020,41125,2020
USA,United States,2020,4712.771,14.238,,40.795,0.123,888.649,2.685,84.51,0.255,1654.988,5,2020.538,6.104,23.291,0.07,-10.33,-543.046,,,,,,416723.089,2745.186,175650.187,2253.809,76554.828,158138.194,1380.885,,13.54,2.51,6.36,19.43,22.37,18.25,7.82,24.56,6.36,22.28,12.67,31.22,26.68,14.76,,,,,,,,,331002647,76027,,,,North America,,,,76027,2022,63123,2020,63414,2020
URY,Uruguay,2020,5.84,1.681,,0.32,0.092,0.002,0.001,,,0.093,0.027,5.424,1.561,,,-11.3,-0.744,,,,,,371.229,20.463,4.083,,2.651,344.032,,,0.02,0.02,0,,0,0.05,,0.02,0.05,0,,0,0.06,,,,,,,,,,3473727,18083,,,,South America,,,,18083,2022,15438,2020,15438,2020
UZB,Uzbekistan,2020,112.784,3.37,,3.53,0.106,11.351,0.339,,,87.112,2.603,10.792,0.322,,,-1.24,-1.415,,,,,,6310.349,165.754,553.221,,3805.499,1752.584,,,0.32,0.22,0.08,,1.18,0.1,,0.37,0.38,0.07,,1.55,0.3,,,,,,,,,,33469199,2071,,,,Asia,,,,2071,2022,1724,2020,1686,2020
VUT,Vanuatu,2020,0.182,0.591,,,,,,,,,,0.182,0.591,,,0.14,0,,,,,,4.752,,,,,4.597,,,0,,,,,0,,0,,,,,0,,,,,,,,,,307150,3145,,,,Oceania,,,,3145,2022,2783,2020,2783,2020
VEN,Venezuela,2020,84.609,2.975,,2.76,0.097,0.05,0.002,29.012,1.02,24.732,0.87,28.056,0.987,,,-14.69,-14.566,,,,,,7854.692,155.68,37.64,1385.794,2339.731,3935.847,,,0.24,0.17,0,6.67,0.33,0.25,,0.46,0.36,0,7.79,0.95,0.66,,,,,,,,,,28435943,1824,,,,South America,,,,1824,2022,3740,2020,16056,2014
VNM,Vietnam,2020,254.303,2.613,,53.038,0.545,126.085,1.295,,,16.735,0.172,58.445,0.6,,,-2.31,-6.009,,,,,,3977.272,566.585,1818.602,,296.448,1294.842,,,0.73,3.26,0.9,,0.23,0.53,,0.23,1.31,0.23,,0.12,0.22,,,,,,,,,,97338583,4122,,,,Asia,,,,4122,2022,2786,2020,2786,2020
YEM,Yemen,2020,9.768,0.328,,0.692,0.023,0.266,0.009,,,0.215,0.007,8.596,0.288,,,-2.52,-0.252,,,,,,624.654,22.826,4.711,,14.052,583.065,,,0.03,0.04,0,,0,0.08,,0.04,0.05,0,,0.01,0.1,,,,,,,,,,29825968,891,,,,Asia,,,,891,2022,937,2020,824,2018
ZMB,Zambia,2020,6.573,0.358,,1.066,0.058,2.418,0.132,,,,,3.089,0.168,,,-6.73,-0.474,,,,,,247.988,16.398,117.529,,,114.061,,,0.02,0.07,0.02,,,0.03,,0.01,0.04,0.01,,,0.02,,,,,,,,,,18383956,1330,,,,Africa,,,,1330,2022,985,2020,1051,2020
ZWE,Zimbabwe,2020,10.531,0.709,,0.697,0.047,6.257,0.421,,,,,3.576,0.241,,,-3.82,-0.418,,,,,,779.383,20.959,610.146,,,148.279,,,0.03,0.04,0.04,,,0.03,,0.05,0.05,0.08,,,0.03,,,,,,,,,,14862927,2301,,,,Africa,,,,2301,2022,1466,2020,1128,2020
